Dataset Name,Archive Type,Proxy Type,Minimum Age,Maximum Age,Longitude,Latitude,Max Resolution,Min Resolution
10_MAG01D,Coral,Luminescence,1814.0,1985.0,146.87,-19.15,1.0,1.0
11_HKO01B,Coral,Luminescence,1661.0,1984.0,148.95,-20.07,1.0,1.0
12_SNH01A,Coral,Luminescence,1820.0,1991.0,148.9,-20.1,1.0,1.0
13_NMI01B,Coral,Luminescence,1882.0,1983.0,148.8,-20.23,1.0,1.0
146_01papu02a,Coral,Delta-oxygen-18,1884.542,1993.042,144.883,-4.15,-0.25,0.25
147_01papu03a,Coral,Delta-oxygen-18,1880.792,1993.042,145.817,-5.217,-0.25,0.25
14_CID01A,Coral,Luminescence,1825.0,1990.0,148.93,-20.27,1.0,1.0
156_DuncanPinkPineNZ2010,Tree ring,Tree ring width index,1457.0,1999.0,172.1772,-43.2725,1.0,1.0
157_DArrigoStewartIsland1996,Tree ring,Tree ring width index,1758.0,1993.0,168.0,-47.0,1.0,1.0
158_2Bd13C,Coral,Delta-carbon-13,1968.54,1994.12,-109.2167,10.3,-0.07999999999992724,0.08999999999991815
159_2Bd13Cave,Coral,Delta-carbon-13,1968.54,1994.12,-109.2167,10.3,-0.07999999999992724,0.08999999999991815
15_SMI01C,Coral,Luminescence,1855.0,1981.0,148.83,-20.27,1.0,1.0
160_2Bd18O,Coral,Delta-oxygen-18,1968.54,1994.12,-109.2167,10.3,-0.07999999999992724,0.08999999999991815
161_2Bd18Oave,Coral,Delta-oxygen-18,1968.54,1994.12,-109.2167,10.3,-0.07999999999992724,0.08999999999991815
162_3Cd13C,Coral,Delta-carbon-13,1969.62,1994.12,-109.2167,10.3,-0.07999999999992724,0.08999999999991815
163_3Cd13Cave,Coral,Delta-carbon-13,1969.62,1994.12,-109.2167,10.3,-0.07999999999992724,0.08999999999991815
164_3Cd18O,Coral,Delta-oxygen-18,1969.62,1994.12,-109.2167,10.3,-0.07999999999992724,0.08999999999991815
165_3Cd18Oave,Coral,Delta-oxygen-18,1969.62,1994.12,-109.2167,10.3,-0.07999999999992724,0.08999999999991815
166_4Bd13C,Coral,Delta-carbon-13,1893.79,1994.04,-109.2167,10.3,-0.07999999999992724,0.09000000000014552
16_LUP01C,Coral,Luminescence,1826.0,1983.0,149.12,-20.28,1.0,1.0
17_HMP01B,Coral,Luminescence,1685.0,1995.0,151.0,-23.2,1.0,1.0
182_1132B,marine sediment,benthic.d13C,29.9547285497189,132.101997856154,127.6022,-33.3162,8.531698781613102,0.5604311729930984
182_1132B,marine sediment,benthic.d18O,29.9547285497189,132.101997856154,127.6022,-33.3162,8.531698781613102,0.5604311729930984
182_1132B,marine sediment,CaCO3,29.9547285497189,132.101997856154,127.6022,-33.3162,47.88160291609759,1.8537995234728015
182_Ningalood18OSONDJF,Coral,Delta-oxygen-18,1880.0,1994.0,113.97,-21.9,1.0,1.0
198_d13CSwallowLagoon,Leaf material,Delta-carbon-13,-43.0,7693.0,153.4547,-27.4986,146.0,2.0
199_DleafSwallowLagoon,Leaf material,Delta leaf (carbon istope discrimination),-43.0,7693.0,153.4547,-27.4986,146.0,2.0
1_CNR01B,Coral,Luminescence,1888.0,1983.0,145.32,-15.13,1.0,1.0
200_Chillagoed18O,Speleothem,Delta-oxygen-18,1227.0,2003.0,144.3931,-17.0917,-1.0,1.0
203_DustdeprateUSnowyRange,Sediment,Dust deposition,3.51,6493.02,148.299,-36.463,83.90000000000009,3.58
204_Xiong_WerberforceStandard,Tree ring,Tree ring width index,1674.0,1992.0,171.28,-43.07,1.0,1.0
205_Xiong_WerberforceARSTND,Tree ring,Tree ring width index,1678.0,1992.0,171.28,-43.07,1.0,1.0
206_Xiong_WerberforceResidual,Tree ring,Tree ring width index,1679.0,1992.0,171.28,-43.07,1.0,1.0
207_Xiong_RahuSaddleStandard,Tree ring,Tree ring width index,1560.0,1992.0,172.12,-42.32,1.0,1.0
208_Xiong_RahuSaddleARSTND,Tree ring,Tree ring width index,1562.0,1992.0,172.12,-42.32,1.0,1.0
209_Xiong_RahuSaddleResidual,Tree ring,Tree ring width index,1563.0,1992.0,172.12,-42.32,1.0,1.0
210_Xiong_MtEgmontRStandard,Tree ring,Tree ring width index,1616.0,1990.0,174.08,-39.25,1.0,1.0
211_Xiong_MtEgmontRARSTND,Tree ring,Tree ring width index,1617.0,1990.0,174.08,-39.25,1.0,1.0
212_Xiong_MtEgmontRResidual,Tree ring,Tree ring width index,1623.0,1990.0,174.08,-39.25,1.0,1.0
213_Xiong_UreweraRStandard,Tree ring,Tree ring width index,1140.0,1992.0,177.2,-38.68,1.0,1.0
214_Xiong_UreweraRARSTND,Tree ring,Tree ring width index,1141.0,1992.0,177.2,-38.68,1.0,1.0
215_Xiong_UreweraRResidual,Tree ring,Tree ring width index,1142.0,1992.0,177.2,-38.68,1.0,1.0
216_Xiong_NEgmontRStandard,Tree ring,Tree ring width index,1625.0,1990.0,174.1,-39.28,1.0,1.0
217_Xiong_NEgmontRARSTND,Tree ring,Tree ring width index,1628.0,1990.0,174.1,-39.28,1.0,1.0
218_Xiong_NEgmontRResidual,Tree ring,Tree ring width index,1629.0,1990.0,174.1,-39.28,1.0,1.0
219_Palmer_WaihoraLagoonStandard,Tree ring,Tree ring width index,1650.0,1985.0,175.67,-38.65,1.0,1.0
220_PalmerWaihoraLagoonARSTND,Tree ring,Tree ring width index,1650.0,1985.0,175.67,-38.65,1.0,1.0
221_Palmer_WaihoraLagoonResidual,Tree ring,Tree ring width index,1652.0,1985.0,175.67,-38.65,1.0,1.0
222_Palmer_WaihoraTerrStandard,Tree ring,Tree ring width index,1613.0,1986.0,175.6,-38.7,1.0,1.0
223_PalmerWaihoraTerrARSTND,Tree ring,Tree ring width index,1614.0,1986.0,175.6,-38.7,1.0,1.0
224_Palmer_WaihoraTerrResidual,Tree ring,Tree ring width index,1615.0,1986.0,175.6,-38.7,1.0,1.0
225_Palmer_RataCrkStandard,Tree ring,Tree ring width index,1787.0,1980.0,171.8,-43.15,1.0,1.0
